Bayern München - VfB Stuttgart (Bundesliga),Allianz Arena; Munich,40 mins,Saturday 12 May 14:30
SpVgg Unterhaching - VfL Osnabrück (3. Liga),Sportpark Unterhaching; Unterhaching,40 mins,Saturday 12 May 12:30
SSV Ulm 1846 - Waldhof Mannheim (Regionalliga),Donaustadion; Ulm,1 hour 41 mins,Saturday 12 May 13:00
FC Augsburg II - FC Ingolstadt 04 II (Regionalliga),Rosenaustadion; Augsburg,52 mins,Saturday 12 May 13:00
Bayern München II - SV Seligenporten (Regionalliga),Grünwalder Stadion; Munich,20 mins,Saturday 12 May 13:00
FC Memmingen - SV Schalding-Heining (Regionalliga),Memminger Arena,1 hour 54 mins,Saturday 12 May 13:00
1. FC Nürnberg II - TSV Buchbach (Regionalliga),Max-Morlock-Platz,1 hour 56 mins,Saturday 12 May 13:00
TSV Schwabmünchen - ASV Neumarkt (Oberliga),Domus Regiobau Arena,1 hour 32 mins,Saturday 12 May 13:00
TSV Schwaben Augsburg - TSV Landsberg (Oberliga),Ernst-Lehner-Stadion; Augsburg,1 hour 1 min,Saturday 12 May 13:00
SV Pullach - SV Kirchanschöring (Oberliga),Sportplatz an der Gistlstraße,21 mins,Saturday 12 May 13:00
BCF Wolfratshausen - DJK Vilzing (Oberliga),Isar Loisach-Stadion,56 mins,Saturday 12 May 13:00
